136.09	17.59	367
113.59	22.76	306
134.79	18.73	364
110.63	22.94	317
116.48	20.17	514
130.16	21.34	157
129.34	21	339
113.98	17.44	139
135.48	12.22	171
128.92	16.7	356
127.65	16.09	212
127.33	15.76	142
126.68	15.61	219
126.63	20.68	157
126.6	17.32	378
126.31	17.32	339
126.26	15.02	492
125.88	15.49	200
125.74	19.52	100
124.83	17.46	231
138.96	16.96	431
124.71	19.03	239
124.07	17.29	350
123.01	14.6	110
122.34	16.58	161
121.17	14.25	117
121.15	21.43	634
121.1	14.82	105
112.55	20.58	579
120.96	19.98	181
120.52	18.46	119
120.24	15.4	90
118.85	22.88	92
118.28	17.67	357
118.14	19.62	383
117.84	18.11	341
117.76	18.91	113
117.71	16.7	83
117.47	20.21	288
117.43	18.45	432
116.02	20.33	335
115.9	14.91	70
115.88	18.91	402
115.48	18.95	278
115.37	22.25	386
115.16	21.08	172
115.08	20.51	431
114.86	18.18	280
114.73	22.84	528
111.33	15.81	70
114.52	16.17	272
114.39	18.09	238
113.94	18.08	155
113.67	22.95	358
113.65	18.98	210
134.32	16.75	425
113.57	22.8	388
113.32	16.52	83
112.83	21.76	329
112.8	23.09	356
133.79	14.78	148
128.92	19.47	217
128.9	18.72	357
112.75	21.48	345
112.7	19.16	275
112.68	18.55	119
132.85	16.9	153
112.68	19.3	613
128.92	17.32	480
112.63	22.12	565
112.59	20.72	172
133.06	15.84	426
130.73	17.89	404
112.54	16.72	85
112.15	19.28	402
112.07	23.2	508
112.03	19.32	356
111.97	21.12	285
111.96	19.59	316
111.66	21.62	307
111.64	17.5	484
111.6	20.45	500
111.59	19.27	397
111.48	19.77	431
111.32	21.73	503
111.28	18.86	373
111.27	23.37	377
111.27	12.29	65
130.51	15.65	155
111.17	22	281
111.09	22.99	123
111.08	20.35	196
110.93	27	280
110.61	18.63	433
110.58	21.38	298
114.2	20.7	365
114.14	17.23	78
110.37	17.42	303
