"lot","storage"
1,971.357921085841
1,827.027827234099
1,1040.92978746951
1,1235.81003801343
1,1027.97965085089
1,941.100407933446
1,1193.02144402706
1,1250.32171107153
1,927.301556416533
1,996.073733638621
1,995.346499876168
1,1139.49239873034
1,899.496904533458
1,1123.43385112523
1,1307.79659335828
1,891.224184022025
1,1094.35668681484
1,870.263326395816
1,1101.37321249914
1,987.302347284712
1,1019.9861409206
1,1044.46614752031
1,793.480828813701
1,963.08109657877
1,1188.31901420676
1,1031.81258237195
1,1145.31222114183
1,1246.80525874152
1,1104.18464037367
1,1188.79117713177
2,1129.22997971324
2,991.320791491028
2,1017.79185009605
2,1230.72592706125
2,1162.62495617886
2,962.016266252229
2,1098.92341104682
2,1159.49590143017
2,899.517989905268
2,910.85326841188
2,951.463811593179
2,970.605445898515
2,1136.69694473748
2,972.766232054249
2,1133.48263906458
2,1013.55735101537
2,1017.41228076642
2,1084.1001537359
2,1182.69329583633
2,882.315498339893
2,1056.75322777309
2,1069.49539644987
2,879.931248124213
2,1167.44258765805
2,1162.08332099722
2,930.002266809938
2,952.614255430989
2,1041.86659081232
2,960.572080617654
2,1085.30581373929
3,963.976167785228
3,987.572509983315
3,1043.5145119682
3,1063.52699232931
3,1102.28662767572
3,994.420480688614
3,1016.69774182184
3,1038.36367587848
3,918.693583636231
3,1115.84933592324
3,968.396255833336
3,1078.82665655317
3,1087.52177028016
3,1070.55557830905
3,886.474501376451
3,785.389027290889
3,881.651419171215
3,994.700606990286
3,1049.69337219778
3,1093.34104254739
3,1128.72437585183
3,1068.43163896158
3,1200.69422114559
3,1165.13058366713
3,973.553245563484
3,986.166139491236
3,975.21279086168
3,988.834820800362
3,1061.675059844
3,1023.00964450058
4,1022.28302021444
4,978.196130229604
4,677.75475949
4,1161.74405549937
4,1015.41672583818
4,1016.8566961241
4,1070.39513997368
4,953.935478268322
4,877.994110456558
4,1115.55843378385
4,861.86274784245
4,890.840314007691
4,1176.88287732717
4,837.883192551026
4,988.16576807823
4,1178.20811261567
4,1138.58700495249
4,1188.85401418163
4,886.708424005003
4,1066.03357664511
4,1151.65268417817
4,776.512244420312
4,784.700047088747
4,1046.24258657461
4,1235.65224626733
4,1035.5010746344
4,942.577827079196
4,1065.49501544427
4,713.723625680122
4,950.903139467413
5,881.307057333208
5,1040.28876023393
5,1093.26855478049
5,1061.23395693602
5,972.795079132659
5,1005.39875511579
5,1001.34194332633
5,1134.16618001841
5,1168.60812698487
5,1048.14053987178
5,834.017247427097
5,1235.12006511575
5,1134.16874038348
5,1136.57830535004
5,997.768268545068
5,893.654107372013
5,995.633158892131
5,965.202493537488
5,1188.91238411953
5,905.094983422012
5,960.657660815485
5,1162.07742693476
5,937.888444979974
5,903.434978760727
5,1314.62082611159
5,879.115894576657
5,1291.8083750123
5,959.651530785953
5,901.167567549173
5,855.709656372114
6,949.54772106955
6,966.051712928538
6,1239.06700590107
6,1107.45338939987
6,1231.60315238194
6,1036.43447424458
6,1040.53467744347
6,1047.71910944937
6,941.109212071468
6,1085.35118529429
6,1206.67314273991
6,1082.04953538429
6,1143.90118064297
6,861.286312738994
6,1137.97025671301
6,1029.13494710703
6,1113.58982034276
6,950.863627679467
6,1171.21405793446
6,1032.3119395704
6,1149.10914338354
6,1040.38882199202
6,1092.06604458228
6,1088.10864349336
6,784.242862487256
6,1167.65699052057
6,1108.11003922081
6,860.764809590677
6,1003.48233571468
6,1076.26364808907
7,792.582737737495
7,1141.6447856229
7,883.773557517218
7,1144.8468623702
7,1011.07670425779
7,943.321128463941
7,894.523631411525
7,1307.87027850207
7,1029.89408850162
7,888.811112744328
7,1009.13643419522
7,1016.81654578749
7,899.865044089297
7,1033.87353398311
7,946.319144980447
7,1083.360313842
7,1104.37822681917
7,1104.94077767144
7,1094.72061966514
7,839.276436850094
7,1042.53435947209
7,1103.86974028742
7,1169.23142796606
7,955.901692493262
7,1009.24752102341
7,1174.17944649607
